season,week,game_type,home_team,away_team,elo_home_pre,elo_away_pre,home_rest,away_rest,div_game,home_team_win,elo_diff,week_norm,sample_weight
1999,10,REG,NO,SF,1380.8518,1460.479,7,7,1,1,-37.42720000000013,0.47619047619047616,1.0
1999,10,REG,NYG,IND,1532.3676,1568.2453,14,7,0,0,6.3222999999999985,0.47619047619047616,1.0
1999,10,REG,LV,LAC,1499.9444,1488.4574,14,7,1,1,53.68700000000008,0.47619047619047616,1.0
1999,10,REG,PHI,WAS,1426.0212,1527.2124,7,7,1,1,-58.99119999999998,0.47619047619047616,1.0
1999,10,REG,PIT,CLE,1535.3097,1391.4228,7,7,1,0,186.08689999999996,0.47619047619047616,1.0
1999,10,REG,SEA,DEN,1575.3852,1462.728,7,7,1,1,154.85719999999986,0.47619047619047616,1.0
1999,10,REG,LA,CAR,1553.4084,1466.1336,7,7,1,1,129.47480000000013,0.47619047619047616,1.0
1999,10,REG,TB,KC,1499.8114,1541.5231,7,7,0,1,0.48829999999993845,0.47619047619047616,1.0
1999,10,REG,NE,NYJ,1559.2235,1432.1034,15,8,1,0,169.32010000000008,0.47619047619047616,1.0
1999,11,REG,ARI,DAL,1455.0628,1509.4123,7,7,1,1,-12.149500000000032,0.5238095238095238,1.0
1999,11,REG,CIN,BAL,1379.6013,1454.4556,7,7,1,0,-32.654299999999964,0.5238095238095238,1.0
1999,11,REG,CLE,CAR,1421.2158,1453.2599,7,7,0,0,10.155899999999932,0.5238095238095238,1.0
1999,11,REG,GB,DET,1471.6787,1543.6715,7,7,1,1,-29.792799999999986,0.5238095238095238,1.0
1999,11,REG,JAX,NO,1605.4123,1402.998,7,7,0,1,244.6142999999999,0.5238095238095238,1.0
1999,11,REG,KC,SEA,1521.5512,1587.0178,7,7,1,0,-23.26659999999997,0.5238095238095238,1.0
1999,11,REG,MIA,NE,1590.4603,1530.1814,7,6,1,1,102.47890000000002,0.5238095238095238,1.0
1999,11,REG,NYJ,BUF,1461.1455,1574.0965,6,7,1,1,-70.75100000000002,0.5238095238095238,1.0
1999,11,REG,PHI,IND,1449.3847,1588.6092,7,7,0,0,-97.02450000000003,0.5238095238095238,1.0
1999,11,REG,LAC,CHI,1471.5235,1464.2339,7,7,0,0,49.48960000000007,0.5238095238095238,1.0
1999,11,REG,SF,LA,1438.3328,1566.2821,7,7,1,0,-85.74929999999999,0.5238095238095238,1.0
1999,11,REG,TB,ATL,1519.7833,1428.2225,7,14,0,1,133.76079999999996,0.5238095238095238,1.0
1999,11,REG,TEN,PIT,1582.8848,1505.5167,7,7,1,1,119.56810000000014,0.5238095238095238,1.0
1999,11,REG,WAS,NYG,1503.8489,1512.0037,7,7,1,1,34.04519999999998,0.5238095238095238,1.0
1999,11,REG,DEN,LV,1451.0954,1516.8783,8,8,1,1,-23.58290000000015,0.5238095238095238,1.0
1999,12,REG,DAL,MIA,1488.7132,1604.7265,4,4,0,1,-73.81330000000007,0.5714285714285714,1.0
1999,12,REG,DET,CHI,1521.9607,1487.0636,4,4,1,1,77.09710000000014,0.5714285714285714,1.0
1999,12,REG,BAL,JAX,1472.5814,1613.2736,7,7,1,0,-98.49219999999995,0.5714285714285714,1.0
1999,12,REG,BUF,NE,1550.0791,1515.9152,7,7,1,1,76.36390000000002,0.5714285714285714,1.0
1999,12,REG,CAR,ATL,1473.8444,1415.5632,7,7,1,1,100.4811999999999,0.5714285714285714,1.0
1999,12,REG,CLE,TEN,1400.6313,1596.2613,7,7,1,0,-153.4299999999999,0.5714285714285714,1.0
1999,12,REG,IND,NYJ,1603.1648,1485.1629,7,7,1,1,160.20189999999997,0.5714285714285714,1.0
1999,12,REG,MIN,LAC,1540.1793,1448.6938,14,7,0,1,133.6855,0.5714285714285714,1.0
1999,12,REG,NYG,ARI,1493.9573,1475.7619,7,7,1,0,60.395400000000066,0.5714285714285714,1.0
1999,12,REG,LV,KC,1495.5228,1502.8885,6,7,1,0,34.83429999999994,0.5714285714285714,1.0
1999,12,REG,PIT,CIN,1492.1402,1361.4755,7,7,1,0,172.86470000000003,0.5714285714285714,1.0
1999,12,REG,SEA,TB,1605.6805,1532.4426,7,7,0,0,115.43789999999986,0.5714285714285714,1.0
1999,12,REG,LA,NO,1581.4438,1395.1367,7,7,1,1,228.50709999999998,0.5714285714285714,1.0
1999,12,REG,WAS,PHI,1521.8953,1434.8291,7,7,1,1,129.26619999999997,0.5714285714285714,1.0
1999,12,REG,SF,GB,1423.1711,1493.3895,8,8,0,0,-28.01839999999997,0.5714285714285714,1.0
1999,13,REG,JAX,PIT,1627.7511,1462.9365,4,4,1,1,207.01459999999992,0.6190476190476191,1.0
1999,13,REG,ARI,PHI,1499.2039,1421.9449,7,7,1,1,119.45900000000002,0.6190476190476191,1.0
1999,13,REG,ATL,NO,1401.1913,1386.6733,7,7,1,1,56.71800000000003,0.6190476190476191,1.0
1999,13,REG,BAL,TEN,1458.1039,1607.9618,7,7,1,1,-107.65789999999997,0.6190476190476191,1.0
1999,13,REG,CAR,LA,1488.2163,1589.9072,7,7,1,0,-59.49090000000005,0.6190476190476191,1.0
1999,13,REG,CHI,GB,1471.4302,1511.7801,10,6,1,0,1.8501000000000687,0.6190476190476191,1.0
